"","Deficit.PT.STD.Wil150mm","Deficit.PT.cc050.Wil150mm","Deficit.PT.cc025.Wil150mm","Deficit.Dobr.cc100","Deficit.Dobr.cc025","ID"
"1",-393.699870911706,-896.562356033195,-1403.29544251826,378.637699796031,24.8715160951659,1
"2",-380.962955265456,-890.12359197871,-1399.8202294335,379.843476604588,24.9900211105914,2
"3",-355.48868347015,-874.193384579043,-1390.56456318635,384.615790597506,25.484366017515,3
"4",-357.200208540698,-876.313427866273,-1391.33545611405,384.039203929659,25.4147167991006,4
"5",-391.335448537444,-898.876230828566,-1402.86908600283,377.883761462744,24.7407926678177,5
"6",-367.996495431762,-886.917691082797,-1396.62211234865,381.035047221383,25.0603891345566,6
"7",-410.896644911227,-921.655448863529,-1415.97058083315,369.310389913282,23.8417956554476,7
"8",-480.845200410784,-979.647714579139,-1446.29906906372,350.12425714852,21.9146848327967,8
"9",-502.175820478244,-1001.82046345062,-1456.99029685983,341.811602018021,21.1037719710885,9
"10",-407.047862793759,-922.913923345063,-1414.8599137265,366.526340508574,23.5587105264706,10
"11",-444.516356708095,-944.413698620997,-1425.04460105765,360.943282686247,22.9480908236069,11
"12",-384.293933643269,-903.948216234437,-1402.9915370544,373.421591763382,24.255928539981,12
"13",-384.343202785145,-903.246401909828,-1401.81265328266,374.647657757893,24.3939215540468,13
"14",-389.892319225112,-907.671686245748,-1404.4198509674,373.200466355543,24.2445483640365,14
"15",-520.496600287132,-1002.16448763734,-1454.15548509994,344.638292981631,21.3144362485164,15
"16",-547.337265883728,-1028.129557677,-1468.45111826992,336.076423257138,20.4949821625286,16
"17",-504.560606304205,-996.19899874652,-1451.9952209652,347.49839455007,21.6696201660986,17
"18",-507.588173333981,-995.635134839984,-1451.31138607729,350.282358523842,21.9889815039135,18
"19",-473.448221453963,-966.492997890187,-1436.13164782707,361.425061831222,23.1538710057923,19
"20",-437.598385769513,-941.138541711024,-1422.54741360625,370.039968981169,24.0984494439519,20
"21",-456.532455030274,-954.009794517953,-1428.85044968571,366.605609485372,23.7801779475322,21
"22",-447.057747475042,-947.039700028399,-1425.14868795975,369.000364615807,24.0435904508877,22
"23",-483.474148321559,-974.883643781522,-1439.93577267828,360.229816788554,23.1376047033736,23
"24",-501.348049383412,-990.380311583291,-1447.73644649445,355.28733479103,22.6329306172511,24
"25",-470.001624689936,-966.369640677521,-1434.85492454414,362.906051440713,23.4174372654672,25
"26",-472.519627363099,-973.332275005718,-1439.0358488917,358.72524818005,23.003376144168,26
"27",-416.180993200129,-935.537207926836,-1419.31190306192,367.722005847282,23.9795714145557,27
"28",-484.237888809111,-991.654664531409,-1448.55993384717,347.43388577573,21.9345889646468,28
"29",-430.439722399763,-943.18914213182,-1422.52352608426,362.305155379904,23.4123105197493,29
"30",-431.848111886283,-938.669553407733,-1419.32189856635,365.407980961549,23.7015289334856,30
"31",-497.476809448781,-1009.76290383056,-1458.30455733842,341.088863395816,21.3554106148771,31
"32",-489.194572959613,-995.391854328147,-1450.51924272828,347.918213025812,22.0464089647755,32
"33",-434.764933224979,-955.919654471285,-1432.236440077,358.843300745035,23.1691595334073,33
"34",-357.84517654848,-897.097766882038,-1402.13720429805,376.472436995554,24.9815026637935,34
