vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr,fold
mch,0.84,0.81,0.46,0.6,0.37,0.2,0.5,0.3,0.25,0.16,0.4,0.23,0.11,0.11,0.78,0.77,1
mhw,0.68,0.72,0.29,0.32,0.28,0.16,0.28,0.51,0.22,0.16,0.25,0.42,0.16,0.16,0.75,0.78,1
smc,0.76,0.73,0.66,0.77,0.44,0.5,0.41,0.46,0.39,0.44,0.36,0.41,0.15,0.15,0.78,0.82,1
mch,0.83,0.78,0.06,-0.02,0.27,-0.01,0.4,0,0.2,0.05,0.32,0.06,0.11,0.11,0.79,0.77,2
mhw,0.71,0.74,0.34,0.42,0.46,0.23,0.06,0.27,0.33,0.2,0.12,0.25,0.16,0.16,0.74,0.75,2
smc,0.78,0.77,0.23,0.33,0.16,0.53,0.26,0.32,0.17,0.35,0.25,0.26,0.15,0.15,0.77,0.8,2
mch,0.84,0.81,0.23,0.31,0.14,0.11,0.15,0.13,0.13,0.11,0.16,0.14,0.11,0.11,0.77,0.74,3
mhw,0.69,0.73,0.47,0.58,0.47,0.27,0.18,0.32,0.32,0.22,0.18,0.26,0.16,0.16,0.73,0.78,3
smc,0.77,0.74,0.36,0.48,0.26,0.38,0.27,0.41,0.2,0.28,0.25,0.32,0.15,0.15,0.74,0.8,3
mch,0.83,0.81,0.43,0.55,0.11,0.1,0.4,0.28,0.13,0.12,0.37,0.23,0.11,0.11,0.76,0.76,4
mhw,0.7,0.71,0.35,0.42,0.1,0.12,0.28,0.56,0.13,0.15,0.26,0.48,0.16,0.16,0.77,0.79,4
smc,0.77,0.74,0.65,0.75,0.59,0.6,0.36,0.37,0.45,0.47,0.3,0.31,0.15,0.15,0.79,0.83,4
mch,0.83,0.8,0.26,0.33,0.29,0,0.34,0.01,0.22,0.06,0.29,0.07,0.11,0.11,0.79,0.78,5
mhw,0.73,0.74,0.26,0.34,0.17,0.13,0.24,0.37,0.2,0.17,0.22,0.34,0.16,0.16,0.75,0.79,5
smc,0.78,0.77,0.3,0.4,0.17,0.57,0.28,0.26,0.17,0.4,0.24,0.21,0.15,0.15,0.78,0.81,5
mch,0.82,0.81,0.52,0.64,0.29,0.2,0.35,0.24,0.23,0.17,0.3,0.22,0.11,0.11,0.78,0.75,6
mhw,0.7,0.73,0.25,0.28,0.28,0.03,0.26,0.44,0.22,0.1,0.23,0.35,0.16,0.16,0.72,0.8,6
smc,0.78,0.75,0.73,0.82,0.54,0.59,0.42,0.45,0.41,0.45,0.35,0.37,0.15,0.15,0.78,0.81,6
mch,0.84,0.82,0.4,0.54,0.14,0.1,0.29,0.21,0.16,0.12,0.27,0.2,0.11,0.11,0.76,0.77,7
mhw,0.71,0.75,0.25,0.32,0.25,0.17,0.01,0.23,0.21,0.17,0.09,0.21,0.16,0.16,0.76,0.75,7
smc,0.78,0.77,0.36,0.49,0.24,0.36,0.23,0.16,0.17,0.29,0.22,0.15,0.15,0.15,0.78,0.78,7
mch,0.84,0.82,0.35,0.45,0.03,0.05,0.31,0.27,0.09,0.1,0.29,0.23,0.11,0.11,0.74,0.77,8
mhw,0.69,0.71,0.35,0.42,0.18,0.06,0.32,0.5,0.18,0.14,0.28,0.42,0.16,0.16,0.74,0.79,8
smc,0.78,0.75,0.55,0.67,0.55,0.47,0.33,0.36,0.41,0.36,0.27,0.3,0.15,0.15,0.79,0.82,8
mch,0.83,0.8,0.24,0.34,0.2,0.07,0.33,0.16,0.18,0.09,0.27,0.14,0.11,0.11,0.78,0.79,9
mhw,0.71,0.73,0.21,0.21,0.17,0.15,0.14,0.39,0.17,0.16,0.15,0.32,0.16,0.16,0.76,0.77,9
smc,0.76,0.74,0.35,0.45,0.36,0.38,0.46,0.41,0.25,0.28,0.35,0.32,0.15,0.15,0.72,0.73,9
mch,0.84,0.82,0.45,0.59,0.34,0.18,0.35,0.2,0.24,0.16,0.27,0.18,0.11,0.11,0.8,0.79,10
mhw,0.69,0.72,0.41,0.49,0.28,0.16,0.14,0.34,0.26,0.18,0.17,0.29,0.16,0.16,0.72,0.79,10
smc,0.78,0.75,0.51,0.6,0.52,0.36,0.34,0.43,0.4,0.31,0.31,0.36,0.15,0.15,0.79,0.81,10
mch,0.83,0.81,0.42,0.55,0.06,0.08,0.34,0.25,0.1,0.1,0.31,0.21,0.11,0.11,0.77,0.77,11
mhw,0.69,0.71,0.32,0.35,0.29,0.14,0.27,0.59,0.24,0.14,0.26,0.51,0.16,0.16,0.73,0.78,11
smc,0.77,0.74,0.56,0.66,0.44,0.56,0.28,0.29,0.34,0.45,0.24,0.25,0.15,0.15,0.79,0.84,11
mch,0.83,0.81,0.42,0.54,0.1,0.1,0.38,0.27,0.12,0.12,0.35,0.22,0.11,0.11,0.77,0.77,12
mhw,0.7,0.71,0.35,0.41,0.13,0.11,0.3,0.59,0.14,0.12,0.28,0.5,0.16,0.16,0.75,0.79,12
smc,0.77,0.74,0.61,0.71,0.54,0.6,0.33,0.35,0.41,0.48,0.27,0.29,0.15,0.15,0.79,0.84,12
mch,0.83,0.82,0.36,0.5,0.12,0.1,0.3,0.32,0.14,0.13,0.25,0.23,0.11,0.11,0.76,0.77,13
